modelname,best_hr,best_ndcg,best_iter,train_time
keras_GMF_bs_256_reg_00_lr_001_n_emb_8.h5,0.6475165562913907,0.3682839580139518,19,76.21132135391234
keras_GMF_bs_256_reg_00_lr_0005_n_emb_8.h5,0.6506622516556292,0.3733571497750173,29,76.96163940429688
keras_GMF_bs_256_reg_00_lr_0001_n_emb_8.h5,0.6509933774834437,0.3743488644047379,27,75.85385799407959
keras_GMF_bs_512_reg_00_lr_001_n_emb_8.h5,0.6486754966887417,0.3652551048027388,24,49.306395292282104
keras_GMF_bs_512_reg_00_lr_0005_n_emb_8.h5,0.6513245033112582,0.3717742508038614,27,49.45206809043884
keras_GMF_bs_512_reg_00_lr_0001_n_emb_8.h5,0.6513245033112582,0.37401612717812427,30,48.53867912292481
keras_GMF_bs_1024_reg_00_lr_001_n_emb_8.h5,0.6498344370860927,0.36747915768463696,27,33.88264989852905
keras_GMF_bs_1024_reg_00_lr_0005_n_emb_8.h5,0.6504966887417218,0.3684891225676693,30,34.69127345085144
keras_GMF_bs_1024_reg_00_lr_0001_n_emb_8.h5,0.6538079470198676,0.3728194788636491,21,34.58408737182617
keras_GMF_bs_1024_reg_00_lr_0001_n_emb_16.h5,0.6930463576158941,0.4064081036259303,25,34.54181003570557
keras_GMF_bs_1024_reg_00_lr_0001_n_emb_32.h5,0.6927152317880795,0.4103431096213354,13,35.18795347213745
keras_GMF_bs_1024_reg_00_lr_0001_n_emb_64.h5,0.6836092715231789,0.40090474330287457,7,37.528023719787605
pytorch_GMF_bs_256_lr_001_n_emb_8.pt,0.6389072847682119,0.3660193322050718,12,66.90259289741515
pytorch_GMF_bs_256_lr_0005_n_emb_8.pt,0.6475165562913907,0.3692606342396764,30,66.45956039428711
pytorch_GMF_bs_256_lr_0001_n_emb_8.pt,0.6516556291390728,0.3772496551126843,29,65.52448606491089
pytorch_GMF_bs_512_lr_001_n_emb_8.pt,0.6428807947019868,0.3656109320037212,29,44.94416093826294
pytorch_GMF_bs_512_lr_0005_n_emb_8.pt,0.6509933774834437,0.37101619887793424,26,43.11355757713318
pytorch_GMF_bs_512_lr_0001_n_emb_8.pt,0.6461920529801325,0.3703183655452854,26,43.07290649414063
pytorch_GMF_bs_1024_lr_001_n_emb_8.pt,0.6475165562913907,0.3671041984424684,27,37.37071228027344
pytorch_GMF_bs_1024_lr_0005_n_emb_8.pt,0.6480132450331125,0.3691929123020689,24,37.571030855178826
pytorch_GMF_bs_1024_lr_0001_n_emb_8.pt,0.6460264900662251,0.3687993360433297,29,37.475716590881355
pytorch_GMF_bs_256_lr_0001_n_emb_16.pt,0.6870860927152318,0.40659211822279134,30,65.21575355529785
pytorch_GMF_bs_256_lr_0001_n_emb_32.pt,0.6943708609271523,0.41358233916555626,30,65.73506116867064
pytorch_GMF_bs_256_lr_0001_n_emb_64.pt,0.6690397350993378,0.3913294450675866,28,67.42148280143739
gluon_GMF_bs_256_lr_001_n_emb_8.params,0.6352649006622516,0.3628643597226008,22,76.90065479278564
gluon_GMF_bs_256_lr_0005_n_emb_8.params,0.6528145695364238,0.3734358850096202,21,78.52251076698303
gluon_GMF_bs_256_lr_0001_n_emb_8.params,0.6486754966887417,0.374400769096478,28,77.4978597164154
gluon_GMF_bs_512_lr_001_n_emb_8.params,0.6471854304635761,0.3726785717655008,29,52.545666933059685
gluon_GMF_bs_512_lr_0005_n_emb_8.params,0.6468543046357615,0.3678480729521283,16,51.56782984733582
gluon_GMF_bs_512_lr_0001_n_emb_8.params,0.6509933774834437,0.3725110133648733,27,51.6804838180542
gluon_GMF_bs_1024_lr_001_n_emb_8.params,0.6513245033112582,0.3686581799135928,22,40.71574234962464
gluon_GMF_bs_1024_lr_0005_n_emb_8.params,0.6521523178807948,0.37383457840939743,22,39.214351415634155
gluon_GMF_bs_1024_lr_0001_n_emb_8.params,0.6551324503311259,0.3744910539041674,24,39.025254487991326
gluon_GMF_bs_1024_lr_0001_n_emb_16.params,0.6887417218543046,0.4035373359825341,22,38.08450937271118
